id;titulo;sintesis;cuerpo_descripcion;fecha;url_foto;facultad_id
1;Inteligente Seguridada;Práctico Plástico;concepto Gris architectures;2022-07-19T21:31:37;Berkshire;1
2;Credit;deliver Patatas Inteligente;Berkshire;2022-07-19T21:24:46;País iterate;2
3;payment Datos Bicicleta;encriptar Platinum mobile;Riera navigating Nuevo;2022-07-20T04:14:37;Corporativo al;3
4;Edificio Money;interface Infraestructura;navigate;2022-07-20T06:24:33;Account;4
5;wireless;JBOD Valenciana Música;seamless;2022-07-20T02:18:38;Ergonómico repurpose;5
6;Regional Práctico Calle;paradigma;generate;2022-07-20T02:04:05;Violeta;6
7;connect;invoice capacidad;Granito;2022-07-20T12:02:16;Granito;7
8;deposit Algodón optical;Identidad Increible;Guapa calculating;2022-07-19T21:27:02;Metal;8
9;panel;Quetzal parsing;basado;2022-07-19T22:19:52;algoritmo;9
10;Reducido;Madera Iran trabajo;Nakfa nivel virtual;2022-07-20T00:30:33;Lanka Amarillo Metal;10
