id;nombre;informacion_general;url_foto;facultad_id
1;compressing;Música SSL Metal;HDD Calidad;1
2;Granito Extremadura Comunidad;deposit Edificio;scale Gris Martinica;2
3;Artesanal ubiquitous;XML Refinado;Metal Negro;3
4;Configurable;Eritrea;Mónaco HDD Comodos;4
5;desafío nivel Juguetería;Gorro;Ouguiya calculating Compartible;5
6;Berkshire facilitate;system;mobile;6
7;Comunidad Electrónica Director;Buckinghamshire Librería;Card;7
8;invoice Bedfordshire Canarias;Edificio;RAM;8
9;disintermediate;transmitter Videojuegos;tolerante;9
10;Plástico withdrawal payment;Usabilidad front-end Marketing;Violeta primary;10
