id;nombre;codigo_snies;codigo_registro_calificado;fecha_registro_calificado;nombre_titulo_otorgado;numero_creditos;duracion_programa;presentacion_programa;mision;vision;perfil_estudiante;perfil_egresado;perfil_ocupacional;url_foto_programa;dirigido_a_quien;costo_programa;estado;email_contacto;nivel_formacion_id;tipo_formacion_id;facultad_id
1;migración;52246;55189;2022-05-10T22:33:33;drive;32971;75389;Barrio;Decoración programming Fantástico;Loan state;Uzbekistan;circuito Corporativo payment;Mesa;Ronda models;Marroquinería;13864;false;feed Pollo;1;1;1
2;Cataluña Bebes;72730;68148;2022-05-11T01:30:10;payment Barranco Horizontal;57149;63995;Buckinghamshire e-business Azul;compressing Bedfordshire;Bélgica estandardización generating;payment Borders Productor;Sopa;Pound Sudán Mejorado;Barrio Avon;Avon system;72738;false;deposit intranet;2;2;2
3;a;43044;34496;2022-05-11T13:08:16;Ordenador portal programming;4581;64248;overriding;Sopa;Glorieta turn-key;Raton Guam Salud;Irak Guapo Ergonómico;Riel input;Hogar;Producto revolutionary;28401;false;online parse;3;3;3
4;Rua array fases;24911;12491;2022-05-11T05:17:29;RAM;81912;43470;override deposit;Ensalada end-to-end;Pizza input;index Morado Baht;recíproca Metal;Fantástico SMTP innovative;Enfocado deposit;Investment;55473;false;deposit payment;4;4;4
5;Identidad;86306;61291;2022-05-10T16:41:22;array;85054;77042;one-to-one Vía circuito;Optimización Dinánmico panel;input;Creativo;Syrian Gráfica;Granito Acero;invoice;Checking tolerancia misión;80223;false;Región Sabroso technologies;5;5;5
6;Raton generación intermedia;38521;12204;2022-05-10T20:40:33;León;71601;42067;synthesize;proyecto mesh Producto;Bedfordshire Berkshire;Artesanal;infomediaries;Account;deposit SCSI Juguetería;firewall;39322;true;B2B feed;6;6;6
7;Verde;44187;17515;2022-05-11T00:37:05;Madera bandwidth;63385;42672;microchip Morado Cambridgeshire;Algodón;habilidad;bandwidth Juguetería Cambridgeshire;Cantabria analista Checking;Sopa Coordinador;Ladrillo División coherente;arquitectura Plástico;14067;true;CFP;7;7;7
8;Rambla;45412;35341;2022-05-10T16:43:40;Camiseta Gerente;1674;95446;Kina;engage;Toallas medición fritas;compressing e-commerce mobile;Agente Nacional Cataluña;withdrawal;monitor e-business;a;30516;true;algoritmo Huerta;8;8;8
9;deposit streamline;36312;98908;2022-05-11T12:19:14;Guantes Quinta Negro;25841;2158;Global multi-byte;Borders compelling;proyecto Papelería mission-critical;withdrawal Cuentas AGP;Kwacha Práctico;Salud Compatible;Metal;invoice matrix;43669;false;Rojo GB;9;9;9
10;Mauritania matrix;91486;87913;2022-05-10T22:55:35;Auto;84287;75065;SMTP Clonado incubate;RSS Nigeria Coche;technologies;Negro pixel;SMS;Metal Blanco;Interno Expandido program;Buckinghamshire Calleja;61990;true;Seguridada Música Acero;10;10;10
