id;titulo;cuerpo;fecha;hora;lugar;url_foto;facultad_id
1;Director compelling Bermuda;Ingeniero Pública;2022-07-20T00:02:05;2022-07-20T11:12:30;Blanco;Plástico Implementado transmitter;1
2;Acero interactiva;Director Chalet;2022-07-19T17:03:36;2022-07-20T05:31:56;Electrónica Money;scalable;2
3;Productor SCSI;Buckinghamshire Cine;2022-07-20T08:55:43;2022-07-19T17:01:51;Cantabria Salud hibrida;neural killer;3
4;Kwacha Madrid Web;driver;2022-07-20T02:38:04;2022-07-20T08:41:49;matrices online;motivadora Borders multi-byte;4
5;system grow;a Bedfordshire;2022-07-20T14:43:03;2022-07-19T17:38:36;Cuesta Rua Práctico;Futuro withdrawal;5
6;de wireless;bus data-warehouse;2022-07-19T19:49:52;2022-07-19T22:17:08;generating Uruguayo Refinado;Account pixel bus;6
7;Tailandia;services Personal Ingeniero;2022-07-19T18:02:45;2022-07-19T22:12:03;Plástico;Guapa Ladrillo;7
8;Ergonómico Sudán;grow;2022-07-19T18:15:12;2022-07-20T11:10:54;neural;Travesía red web-readiness;8
9;withdrawal Configurable;payment;2022-07-19T21:34:42;2022-07-20T05:26:23;navigate optimize;Interacciones cross-platform País;9
10;alarm Loan Planificador;Mejorado invoice payment;2022-07-20T02:47:58;2022-07-20T13:00:22;Juguetería;en;10
